Plot,Profiles,Depth_category,Depth_as_collected,Thickness,Volume,Archive ID,Oven dry sample wt (g),Fine Earth Air Dry wt (g),%C,%N,d13C,d15N,C:N,JML %C
AC103,NA,Oe,Oe,NA,NA,L14-0380,25.74,NA,37.8080943,0.9254551408,-27.226781,-3.2298542,47.66243269,NA
AC103,NA,A,A,NA,NA,L14-0381,184.97,NA,30.92844923,1.273353846,-28.4366992,NA,28.33712788,NA
AC103,3,0--15,0--15,15,318.396,L14-0382,311.11,311.63,NA,NA,NA,NA,NA,0.841
AC103,3,15--30,15--30,15,318.396,L14-0383,312.46,312.914,NA,NA,NA,NA,NA,0.333
AC103,3,30--60,30--60,30,636.792,L14-0384,1037.82,1040.81,NA,NA,NA,NA,NA,0.31
AC103,3,60--100,60--100,40,849.056,L14-0385,1628.07,1630.11,NA,NA,NA,NA,NA,NA
AC103,NA,Oe,Oe,NA,NA,L14-0387,19.07,NA,39.34290546,1.390707148,-28.209651,-4.3832713,33.00483241,NA
AC103,NA,A,A,NA,NA,L14-0388,110.63,NA,28.63693578,1.252061162,-27.6089008,-2.5335072,26.68380701,NA
AC103,3,0--15,0--15,15,318.396,L14-0389,334.14,334.69,NA,NA,NA,NA,NA,0.706
AC103,3,15--30,15--30,15,318.396,L14-0390,392.98,393.798,0.7790443752,0.02331932266,-25.833136,3.63077,33.40767597,NA
AC103,3,30--60,30--60,30,636.792,L14-0391,1055.98,1057.98,NA,NA,NA,NA,NA,NA
AC103,3,60--100,60--100,40,849.056,L14-0392,1605.06,1610.85,NA,NA,NA,NA,NA,0.22
AC103,NA,Oe,Oe,NA,NA,L14-0394,13.2,NA,19.85452055,0.6892465753,-27.795811,-5.2160164,33.60714167,NA
AC103,NA,A,A,NA,NA,L14-0395,309.67,NA,17.55747858,0.8041615667,-27.3679744,-1.7725708,25.47215119,NA
AC103,3,0--15,0--15,15,318.396,L14-0396,381.13,381.47,NA,NA,NA,NA,NA,0.377
AC103,3,15--30,15--30,15,318.396,L14-0397,486.81,487.985,0.3206539246,0.015259684,-25.22604,3.6470255,21.01314317,NA
AC103,3,30--60,30--60,30,636.792,L14-0398,1033.15,1035.89,NA,NA,NA,NA,NA,NA
AC103,3,60--100,60--100,40,849.056,L14-0399,1649.41,1530.07,NA,NA,NA,NA,NA,NA
