Sort,Plot,Type,Litter Mass
1,1911,Sticks,106.09
2,1911,QURU,20.43
3,1911,PIST,18.88
4,1911,PIRE,8.52
5,1911,Frgmnt,44.04
6,AC103,Sticks,0.02
7,AC103,QURU,0
8,AC103,PIST,0.23
9,AC103,PIRE,0.04
10,AC103,Frgmnt,2.72
11,AC104,Sticks,0
12,AC104,QURU,0.43
13,AC104,PIST,0.26
14,AC104,PIRE,0
15,AC104,Frgmnt,14.57
16,BF7+8,Sticks,4.04
17,BF7+8,QURU,0.55
18,BF7+8,PIST,0.1
19,BF7+8,PIRE,0.1
20,BF7+8,Frgmnt,10.7
21,BP36,Sticks,75.84
22,BP36,QURU,2.28
23,BP36,PIST,10.91
24,BP36,PIRE,0.72
25,BP36,Frgmnt,34.99
26,BP48,Sticks,10.42
27,BP48,QURU,2.65
28,BP48,PIST,1.5
29,BP48,PIRE,0
30,BP48,Frgmnt,24.46
31,BP54,Sticks,1.4
32,BP54,QURU,8.07
33,BP54,PIST,1.12
34,BP54,PIRE,0.02
35,BP54,Frgmnt,31.72
36,BP80(9+3),Sticks,12.93
37,BP80(9+3),QURU,3
38,BP80(9+3),PIST,1.37
39,BP80(9+3),PIRE,0.28
40,BP80(9+3),Frgmnt,17.41
41,BP98,Sticks,4.76
42,BP98,QURU,4.49
43,BP98,PIST,0.07
44,BP98,PIRE,0.75
45,BP98,Frgmnt,11.34
46,BP98-X,Sticks,0.68
47,BP98-X,QURU,4.08
48,BP98-X,PIST,0.04
49,BP98-X,PIRE,0.29
50,BP98-X,Frgmnt,11.18
51,BS40E,Sticks,2.36
52,BS40E,QURU,0
53,BS40E,PIST,1
54,BS40E,PIRE,9.36
55,BS40E,Frgmnt,8.98
56,BS40F,Sticks,0.23
57,BS40F,QURU,0
58,BS40F,PIST,3.01
59,BS40F,PIRE,13.98
60,BS40F,Frgmnt,12.38
61,BS40X,Sticks,8.58
62,BS40X,QURU,4.57
63,BS40X,PIST,0.17
64,BS40X,PIRE,14.16
65,BS40X,Frgmnt,28.79
66,BS42A,Sticks,0.11
67,BS42A,QURU,0
68,BS42A,PIST,2.32
69,BS42A,PIRE,29.15
70,BS42A,Frgmnt,7.7
71,BS42B,Sticks,0
72,BS42B,QURU,0
73,BS42B,PIST,0.03
74,BS42B,PIRE,29.49
75,BS42B,Frgmnt,10.96
76,BS42C,Sticks,0.77
77,BS42C,QURU,0
78,BS42C,PIST,0
79,BS42C,PIRE,31.27
80,BS42C,Frgmnt,9
81,CP1,Sticks,3.79
82,CP1,QURU,3.73
83,CP1,PIST,0
84,CP1,PIRE,0
85,CP1,Frgmnt,21.97
86,CP2,Sticks,0
87,CP2,QURU,0
88,CP2,PIST,0
89,CP2,PIRE,0
90,CP2,Frgmnt,1.14
91,CP3,Sticks,0
92,CP3,QURU,21.63
93,CP3,PIST,0
94,CP3,PIRE,0
95,CP3,Frgmnt,20.17
96,DNR1,Sticks,0
97,DNR1,QURU,1.45
98,DNR1,PIST,0
99,DNR1,PIRE,0
100,DNR1,Frgmnt,0.96
101,DNR2,Sticks,1.67
102,DNR2,QURU,1.03
103,DNR2,PIST,0
104,DNR2,PIRE,0
105,DNR2,Frgmnt,1.29
106,DNR3,Sticks,0
107,DNR3,QURU,0
108,DNR3,PIST,0
109,DNR3,PIRE,0
110,DNR3,Frgmnt,1.09
111,DP107,Sticks,22.28
112,DP107,QURU,0.35
113,DP107,PIST,0.05
114,DP107,PIRE,4.88
115,DP107,Frgmnt,4.65
116,PSA1,Sticks,0
117,PSA1,QURU,0.14
118,PSA1,PIST,0.77
119,PSA1,PIRE,1.58
120,PSA1,Frgmnt,2.95
121,PSA2,Sticks,1.42
122,PSA2,QURU,0
123,PSA2,PIST,-0.19
124,PSA2,PIRE,0
125,PSA2,Frgmnt,1.24
126,PSA3,Sticks,3.01
127,PSA3,QURU,0.41
128,PSA3,PIST,0.01
129,PSA3,PIRE,0.12
130,PSA3,Frgmnt,1.67
