attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Archived_Sample_ID	Unique identifier for the soil sample, corresponding to the archived physical sample in the UMBS SAFE.	character				
Plot_ID	Standardized name of the LTREB long-term plot in which the soil sample was collected.	character				
Profile_ID	Unique identifier for the soil profile (parent) from which the soil sample (child) is derived. Concatenated from the plot ID and the unique soil profile (2 <= n <= 4 per plot).	character				
Targeted_Sampling_Increment	The horizon or depth increment (in cm) intended to be collected.	character				
Actual_Sampling_Increment	The horizon or depth increment (in cm) that was actually collected. May differ from targeted depth, e.g., based upon sample slumping out of the bottom of the coring device during sample collections.	character				
Sampling_Increment_Thickness	Thickness (in cm) of the sampled depth increment.	numeric	centimeter		NA	Thicknesses not measured for O and A horizons because they were collected as genetic horizons.
Sample_Volume	Calculated volume (in cubic cm) of the sample based upon its thickness and the diameter of the corer used to collect it.	numeric	cubicCentimeter		NA	No sample volume calculated because thickness was not measured.
Fine_Earth_Dry_Mass	Measured dry mass (in g) of the fine earth fraction (soil materials passing 2 mm sieve). TODO: 60 degrees	numeric	gram			
Root_Dry_Mass	Measured dry mass (in g) of fine roots (less than 2 mm in diameter). TODO: 60 degrees	numeric	gram		NA	?
Wood_Dry_Mass	Measured dry mass (in g) of woody roots (greater than 2 mm in diameter) and woody materials not passing 2 mm sieve (e.g., bark pieces, twigs, acorn fragments). TODO: 60 degrees	numeric	gram		NA	?
Stone_Dry_Mass	Air dry mass of stones not passing 2 mm sieve.	numeric	gram		NA	?
Stone_Volume	Calculated volume of stones (in cubic cm) assuming stones have specific density of 2.5 g per cubic cm.	numeric	cubicCentimeter		NA	?
Sieving_Comments	Comments noted by the individual while sieving the soil sample.	character			NA	No additional comments on sieving for this observation.
Fine_Earth_Mass_Density	The mass density of the fine earth fraction for O and A horizons, which were sampled by a 15x15 cm template. Calculated from the mass (g) of fine earth per 225 square cm, scaled to mass in Mg (= 1000000 g) and area in ha (10000000 square cm).	numeric	megagramsPerHectare		NA	Attribute not collected for mineral soil depth increments, only O and A horizons.
Fine_Earth_Bulk_Density	The bulk density of the fine earth fraction for mineral soil depth increments, sampled with a 2.6 cm inside diameter corer. Calculated as the g of fine earth per cubic cm of fine earth. Cubic centimeters of fine earth is calculated as the difference between the core volume and the stone volume.	numeric	gramsPerCubicCentimeter		NA	Attribute not collected for O and A horizons, only mineral soil depth increments.
Bulk_Density_Code	Code indicating how Fine_Earth_Bulk_Density attribute was collected.	categorical			NA	Attribute not collected for O and A horizons, only mineral soil depth increments.
Texture	Texture class of the fine earth fraction, assessed using feel and judgment.	character			NA	?
PH	pH of the sample in a 1:1 soil:distilled water paste. Measured by the Maine Soil Testing Service according to methods described in Hoskins et al. 1997. Described in standard pH scale 0-14.	numeric	dimensionless		NA	?
