"LTREB_Tag_2019","LTREB_Tag_2014","Old_Tag","Species","Plot_ID","Outside_Historic_Plot","Measure_Year","Date","Distance","Azimuth","Status","Origin_Year","Years_Standing","DBH","As_Class","AGB","Estimated_Height","Notes"
NA,NA,"224","ACPE","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.8,"N",3.2,NA,NA
NA,NA,"375B","ACPE","BS34A","N","1982",NA,NA,NA,NA,1879,103,3.8,"N",3.2,NA,NA
NA,NA,"386A","ACPE","BS34A","N","1982",NA,NA,NA,NA,1879,103,3.8,"N",3.2,NA,NA
NA,NA,"1","ACPE","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.1,"N",3.6,NA,NA
NA,NA,"25","ACPE","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.1,"N",3.6,NA,NA
NA,NA,"34","ACPE","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.1,"N",3.6,NA,NA
NA,NA,"176D","ACPE","BS34A","N","1982",NA,NA,NA,NA,1879,103,4.3,"N",4.2,NA,NA
NA,NA,"1","ACPE","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.6,"N",4.7,NA,NA
NA,NA,"31","ACPE","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.8,"N",5.3,NA,NA
NA,NA,"45","ACPE","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.8,"N",5.3,NA,NA
NA,NA,"25","ACPE","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.8,"N",5.3,NA,NA
NA,NA,"224","ACPE","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.8,"N",5.3,NA,NA
NA,NA,"241","ACPE","BS34A","N","1934",NA,NA,NA,NA,1879,55,5.1,"N",5.9,NA,NA
NA,NA,"492","ACPE","BS34A","N","1934",NA,NA,NA,NA,1879,55,5.1,"N",5.9,NA,NA
NA,NA,"34","ACPE","BS34A","N","1939",NA,NA,NA,NA,1879,60,5.1,"N",5.9,NA,NA
NA,NA,"1","ACPE","BS34A","N","1944",NA,NA,NA,NA,1879,65,5.1,"N",5.9,NA,NA
NA,NA,"25","ACPE","BS34A","N","1944",NA,NA,NA,NA,1879,65,5.1,"N",5.9,NA,NA
NA,NA,"1","ACPE","BS34A","N","1949",NA,NA,NA,NA,1879,70,5.1,"N",5.9,NA,NA
NA,NA,"492","ACPE","BS34A","N","1939",NA,NA,NA,NA,1879,60,5.6,"N",7.3,NA,NA
NA,NA,"40C","ACPE","BS34A","N","1982",NA,NA,NA,NA,1879,103,5.6,"N",7.3,NA,NA
NA,NA,"26","ACPE","BS34A","N","1934",NA,NA,NA,NA,1879,55,5.8,"N",8,NA,NA
NA,NA,"31","ACPE","BS34A","N","1939",NA,NA,NA,NA,1879,60,5.8,"N",8,NA,NA
NA,NA,"45","ACPE","BS34A","N","1939",NA,NA,NA,NA,1879,60,5.8,"N",8,NA,NA
NA,NA,"34","ACPE","BS34A","N","1944",NA,NA,NA,NA,1879,65,5.8,"N",8,NA,NA
NA,NA,"31","ACPE","BS34A","N","1944",NA,NA,NA,NA,1879,65,6.1,"N",8.8,NA,NA
NA,NA,"31","ACPE","BS34A","N","1949",NA,NA,NA,NA,1879,70,6.4,"N",9.6,NA,NA
NA,NA,"31","ACPE","BS34A","N","1954",NA,NA,NA,NA,1879,75,6.4,"N",9.6,NA,NA
NA,NA,"34","ACPE","BS34A","N","1949",NA,NA,NA,NA,1879,70,6.6,"N",10.5,NA,NA
NA,NA,"45","ACPE","BS34A","N","1944",NA,NA,NA,NA,1879,65,6.9,"N",11.4,NA,NA
NA,NA,"45","ACPE","BS34A","N","1949",NA,NA,NA,NA,1879,70,6.9,"N",11.4,NA,NA
NA,NA,"45","ACPE","BS34A","N","1954",NA,NA,NA,NA,1879,75,7.1,"N",12.3,NA,NA
NA,NA,"26","ACPE","BS34A","N","1939",NA,NA,NA,NA,1879,60,7.4,"N",13.3,NA,NA
NA,NA,"34","ACPE","BS34A","N","1954",NA,NA,NA,NA,1879,75,7.6,"N",14.3,NA,NA
NA,NA,"26","ACPE","BS34A","N","1944",NA,NA,NA,NA,1879,65,8.9,"N",20.1,NA,NA
NA,NA,"26","ACPE","BS34A","N","1949",NA,NA,NA,NA,1879,70,10.9,"N",31.4,NA,NA
NA,NA,"26","ACPE","BS34A","N","1954",NA,NA,NA,NA,1879,75,11.2,"N",33.1,NA,NA
NA,NA,"194C","ACRU","BS34A","N","1982",NA,NA,NA,NA,1879,103,7.1,"N",7.3,NA,NA
NA,NA,"112","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.3,"N",2.8,NA,NA
NA,NA,"114","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.3,"N",2.8,NA,NA
NA,NA,"115","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.3,"N",2.8,NA,NA
NA,NA,"120","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.3,"N",2.8,NA,NA
NA,NA,"138","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.3,"N",2.8,NA,NA
NA,NA,"141","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.3,"N",2.8,NA,NA
NA,NA,"467","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.3,"N",2.8,NA,NA
NA,NA,"531","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.3,"N",2.8,NA,NA
NA,NA,"641","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.3,"N",2.8,NA,NA
NA,NA,"642","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.3,"N",2.8,NA,NA
NA,NA,"648","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.3,"N",2.8,NA,NA
NA,NA,"632A","ACSA","BS34A","N","1982",NA,NA,NA,NA,1879,103,3.3,"N",2.8,NA,NA
NA,NA,"27","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.6,"N",3.3,NA,NA
NA,NA,"83","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.6,"N",3.3,NA,NA
NA,NA,"122","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.6,"N",3.3,NA,NA
NA,NA,"184","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.6,"N",3.3,NA,NA
NA,NA,"220","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.6,"N",3.3,NA,NA
NA,NA,"283","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.6,"N",3.3,NA,NA
NA,NA,"301","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.6,"N",3.3,NA,NA
NA,NA,"313","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.6,"N",3.3,NA,NA
NA,NA,"376","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.6,"N",3.3,NA,NA
NA,NA,"448","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.6,"N",3.3,NA,NA
NA,NA,"463","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.6,"N",3.3,NA,NA
NA,NA,"486","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.6,"N",3.3,NA,NA
NA,NA,"549","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.6,"N",3.3,NA,NA
NA,NA,"559","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.6,"N",3.3,NA,NA
NA,NA,"606","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.6,"N",3.3,NA,NA
NA,NA,"4","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.8,"N",3.9,NA,NA
NA,NA,"127","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.8,"N",3.9,NA,NA
NA,NA,"130","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.8,"N",3.9,NA,NA
NA,NA,"178","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.8,"N",3.9,NA,NA
NA,NA,"180","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.8,"N",3.9,NA,NA
NA,NA,"192","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.8,"N",3.9,NA,NA
NA,NA,"219","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.8,"N",3.9,NA,NA
NA,NA,"226","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.8,"N",3.9,NA,NA
NA,NA,"265","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.8,"N",3.9,NA,NA
NA,NA,"302","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.8,"N",3.9,NA,NA
NA,NA,"304","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.8,"N",3.9,NA,NA
NA,NA,"360","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.8,"N",3.9,NA,NA
NA,NA,"361","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.8,"N",3.9,NA,NA
NA,NA,"391","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.8,"N",3.9,NA,NA
NA,NA,"398","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.8,"N",3.9,NA,NA
NA,NA,"404","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.8,"N",3.9,NA,NA
NA,NA,"433","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.8,"N",3.9,NA,NA
NA,NA,"441","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.8,"N",3.9,NA,NA
NA,NA,"451","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.8,"N",3.9,NA,NA
NA,NA,"455","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.8,"N",3.9,NA,NA
NA,NA,"507","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.8,"N",3.9,NA,NA
NA,NA,"522","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.8,"N",3.9,NA,NA
NA,NA,"566","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.8,"N",3.9,NA,NA
NA,NA,"574","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.8,"N",3.9,NA,NA
NA,NA,"649","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,3.8,"N",3.9,NA,NA
NA,NA,"138","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,3.8,"N",3.9,NA,NA
NA,NA,"141","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,3.8,"N",3.9,NA,NA
NA,NA,"301","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,3.8,"N",3.9,NA,NA
