50 YEAR PLOT NO. 5,,,,,,,,,,,,
".1 acre, 66 ft. square",,,,,,,,,,,Actual ,
,,,,,DBH Class in Inches-------------------,,,,,,DBH (in),
SPECIES,X (ft.),X_COORD,Y (ft.),Y_COORD,1938,1945,1951,1955,1973,1979,1991,2001
1,0.23,1917253.23,65.54,828906.54 ,,,,,0.5,0.5,0.7,
1,0.46,1917253.46,51.71,828892.71 ,,,,,,0.5,0.5,
1,0.76,1917253.76,34.06,828875.06 ,,,,,,0.5,0.2,
1,1.39,1917254.39,46.96,828887.96 ,,,,,,0.5,1.1,
1,3.76,1917256.76,1.06,828842.06 , ,,,,,0.5,,
1,6.37,1917259.37,16.76,828857.76 ,,,,,0.5,0.5,1.4,2.3
1,8.42,1917261.42,14.49,828855.49 ,,,,,,0.5,1.1,2.0
1,9.93,1917262.93,61.35,828902.35 ,,,,,0.5,0.5,,
1,10.59,1917263.59,61.38,828902.38 ,,,,,1.0,1.0,,
1,11.29,1917264.29,61.55,828902.55 ,,,,,0.5,0.5,0.7,2.2
1,13.04,1917266.04,46.00,828887.00 ,,,,,,0.5,0.5,
1,13.73,1917266.73,59.17,828900.17 ,,,,,,0.5,0.5,
1,17.06,1917270.06,5.51,828846.51 ,,,,,1.0,1.0,2.4,
1,24.55,1917277.55,7.00,828848.00 ,,,,,,0.5,,
1,24.59,1917277.59,7.43,828848.43 ,,,,,0.5,1.0,1.6,2.1
1,27.59,1917280.59,10.76,828851.76 ,,,,,,0.5,0.9,1.4
1,28.25,1917281.25,8.12,828849.12 ,,,,,,0.5,,
1,32.77,1917285.77,42.70,828883.70 ,,0.5,0.5,0.5,,,,
1,32.77,1917285.77,43.46,828884.46 ,0.5,0.5,0.5,,,,,
1,32.80,1917285.80,43.96,828884.96 ,0.5,0.5,1.0,1.0,2.0,2.0,3.0,3.4
1,32.97,1917285.97,42.50,828883.50 ,,0.5,0.5,0.5,,,,
1,33.10,1917286.10,42.77,828883.77 ,,0.5,0.5,0.5,,,,
1,33.10,1917286.10,43.73,828884.73 ,0.5,1.0,2.0,2.0,4.0,4.0,4.4,4.6
1,33.13,1917286.13,43.36,828884.36 ,0.5,1.0,2.0,2.0,4.0,4.0,5.1,5.7
1,33.13,1917286.13,44.22,828885.22 ,0.5,1.0,3.0,3.0,7.0,8.0,9.3,10.0
1,40.82,1917293.82,27.82,828868.82 ,,,,,,0.5,0.4,0.7
1,41.32,1917294.32,30.06,828871.06 ,,,,,,0.5,0.6,0.9
1,42.04,1917295.04,29.30,828870.30 ,,,,,,0.5,,
1,44.48,1917297.48,27.13,828868.13 ,,,,,,0.5,0.7,1.2
1,48.28,1917301.28,26.90,828867.90 ,,,,,,0.5,0.5,0.6
1,48.44,1917301.44,31.68,828872.68 ,,,,,,0.5,,
1,50.66,1917303.66,12.44,828853.44 ,,,,,1.0,1.0,1.6,
1,50.66,1917303.66,31.58,828872.58 ,,,,,,0.5,0.6,1.2
1,51.61,1917304.61,28.84,828869.84 ,,,,,,0.5,0.8,1.5
1,54.19,1917307.19,38.58,828879.58 ,,,,,,0.5,0.3,
1,56.27,1917309.27,0.43,828841.43 ,,,,,,1.0,1.5,
1,58.34,1917311.34,55.97,828896.97 ,0.5,1.0,1.0,1.0,2.0,3.0,,3.6?
1,58.94,1917311.94,56.53,828897.53 ,0.5,1.0,2.0,3.0,7.0,8.0,10.0,11.6
1,61.84,1917314.84,29.11,828870.11 ,,,,,,0.5,1.1,1.7
1,65.67,1917318.67,38.35,828879.35 ,,,,,0.5,1.0,,
2,4.22,1917257.22,0.69,828841.69 ,,,,,,0.5,1.2,2.5
2,5.18,1917258.18,65.93,828906.93 ,,0.5,0.5,,,,,
2,36.27,1917289.27,30.06,828871.06 ,,,,,1.0,1.0,2.4,3.8
2,50.66,1917303.66,7.00,828848.00 ,,,,,1.0,,,
2,60.13,1917313.13,32.04,828873.04 ,,,,,1.0,1.0,2.7,4.2
2,60.72,1917313.72,27.72,828868.72 ,,,,,0.5,1.0,1.6,2.5
6,10.43,1917263.43,4.26,828845.26 , ,0.5, , , , ,,
