Date,Plot,Dist (m),Azi (°),Species,Tag #,Live or Dead?,DBH (cm),AGB (kg),Estimated height (m),Notes,,,,,,
7/9/19,AC103,5.5,200,ACRU,1354,D,10.7,20.0025021,4,,,,,,,
7/9/19,AC103,18.0,199,ACRU,1358,L,8.1,10.4,,,,,,,,
7/9/19,AC103,9.0,221,ACRU,1351,L,8.5,11.9,,,,,,,,
7/9/19,AC103,13.5,255,ACRU,1345,L,8.5,11.9,,,,,,,,
7/9/19,AC103,5.0,53,ACRU,1385,L,8.9,13.5,,,,,,,,
7/9/19,AC103,18.0,59,ACRU,1392,L,9.0,14.0,,,,,,,,
7/9/19,AC103,17.0,179,ACRU,1362,L,9.3,15.3,,,,,,,,
7/9/19,AC103,10.0,25,ACRU,1393,L,9.4,15.7,,,,,,,,
7/9/19,AC103,16.0,179,ACRU,1360,L,9.4,15.7,,,,,,,,
7/9/19,AC103,18.0,62,ACRU,1391,L,9.5,16.2,,,,,,,,
7/9/19,AC103,9.5,114,ACRU,1374,L,9.6,16.7,,slightly below DBH,,,,,,
7/9/19,AC103,4.0,5,ACRU,1400,L,9.8,17.7,,,,,,,,
7/9/19,AC103,6.5,63,ACRU,1386,L,9.8,17.7,,,,,,,,
7/9/19,AC103,14.5,131,ACRU,1371,L,9.9,18.2,,,,,,,,
7/9/19,AC103,17.0,180,ACRU,1361,L,10.0,18.7,,,,,,,,
7/9/19,AC103,15.0,10,ACRU,1396,L,10.1,19.2,,,,,,,,
7/9/19,AC103,18.0,201,ACRU,1357,L,10.1,19.2,,,,,,,,
7/9/19,AC103,13.5,88,ACRU,1379,L,10.4,20.8,,,,,,,,
7/9/19,AC103,8.0,248,ACRU,1347,L,10.4,20.8,,,,,,,,
7/9/19,AC103,9.5,108,ACRU,1373,L,11.9,30.3,,,,,,,,
7/9/19,AC103,11.0,105,ACRU,1376,L,12.7,36.3,,,,,,,,
7/9/19,AC103,6.0,75,ACRU,1382,L,13.4,42.2,,,,,,,,
7/9/19,AC103,6.0,80,ACRU,1381,L,13.8,45.7,,,,,,,,
7/9/19,AC103,4.5,310,PIRE,1342,L,19.1,90.5,,,,,,,,
7/9/19,AC103,9,144,PIST,1364,D,17.5,21.58968328,1.5,,,,,,,
7/9/19,AC103,11.0,83,PIST,1380,L,9.2,12.33014366,,,,,,,,
7/9/19,AC103,16.0,212,PIST,1356,L,10.2,16.08024662,,,,,,,,
7/9/19,AC103,4.0,323,PIST,1341,L,10.5,17.32570136,,,,,,,,
7/9/19,AC103,16.5,111,PIST,1378,L,10.8,18.62842758,,,,,,,,
7/9/19,AC103,8.5,253,PIST,1346,L,15.1,44.13237878,,,,,,,,
7/9/19,AC103,15.5,18,PIST,1394,L,16.3,53.7310049,,,,,,,,
7/9/19,AC103,17.5,133,PIST,1370,L,16.3,53.7310049,,,,,,,,
7/9/19,AC103,9.0,155,PIST,1365,L,18.1,70.35516332,,,,,,,,
7/9/19,AC103,7.5,324,PIST,1339,L,18.3,72.3732445,,,,,,,,
7/9/19,AC103,13.5,176,PIST,1363,L,19.5,85.22445555,,,,,,,,
7/9/19,AC103,1.0,179,PIST,1352,L,20.5,96.93011422,,slightly below DBH,,,,,,
7/9/19,AC103,15.5,68,PIST,1390,L,30.9,278.655943,,,,,,,,
7/9/19,AC103,9,20,POGR,1398,L,21.2,181.4,,,,,,,,
7/9/19,AC103,14.0,23,POGR,1397,L,22.6,210.8,,,,,,,,
7/9/19,AC103,4.0,9,POGR,1399,L,23.7,235.8,,,,,,,,
7/9/19,AC103,9.5,197,POGR,1355,L,29.4,391.2,,,,,,,,
7/9/19,AC103,12.0,156,POGR,1366,L,30.4,423.2,,,,,,,,
7/9/19,AC103,11.5,268,POGR,1344,L,34.0,550.5,,,,,,,,
7/9/19,AC103,2.0,277,POGR,1343,L,35.2,597.2,,,,,,,,
7/9/19,AC103,6.0,354,POGR,1337,L,36.9,667.2,,,,,,,,
7/9/19,AC103,5.5,80,POGR,1383,L,40.4,825.6,,,,,,,,
7/9/19,AC103,2.0,90,POGR,1384,L,43.5,982.2,,,,,,,,
7/9/19,AC103,3.0,176,POGR,1353,L,44.0,1008.9,,,,,,,,
7/9/19,AC103,14.5,246,QURU,1348,L,15.7,82.5,,,,,,,,
7/9/19,AC103,18.0,336,QURU,1334,L,20.1,163.7,,,,,,,,
7/9/19,AC103,6.0,336,QURU,1340,L,22.0,210.4,,,,,,,,
7/9/19,AC103,15.5,350,QURU,1333,L,24.5,283.5,,,,,,,,
7/9/19,AC103,7.0,338,QURU,1338,L,26.1,337.9,,,,,,,,
7/9/19,AC103,11.0,67,QURU,1388,L,31.6,574.3,,,,,,,,
7/9/19,AC103,17.5,335,QURU,1335,L,31.6,574.3,,,,,,,,
7/9/19,AC103,16.0,11,QURU,1395,L,31.8,584.4,,,,,,,,
7/9/19,AC103,9.0,236,QURU,1350,L,34.2,715.1,,,,,,,,
7/9/19,AC103,11.5,156,QURU,1369,L,34.9,756.4,,,,,,,,
7/9/19,AC103,15.5,245,QURU,1349,L,35.7,805.5,,,,,,,,
7/9/19,AC103,15.5,200,QURU,1359,L,36.4,850.0,,,,,,,,
7/9/19,AC103,11.5,154,QURU,1368,L,37.4,916.4,,,,,,,,
7/9/19,AC103,18.0,321,QURU,1336,L,37.5,923.2,,,,,,,,
7/9/19,AC103,12.0,158,QURU,1367,L,37.7,936.9,,,,,,,,
7/9/19,AC103,11.0,68,QURU,1387,L,40.7,1158.6,,,,,,,,
7/9/19,AC103,11.0,63,QURU,1389,L,46.8,1706.6,,,,,,,,
7/9/19,AC104,11.0,4,ACRU,1331,L,8.9,13.5,,,,,,,,
7/9/19,AC104,18.0,45,ACRU,4422,L,10.2,19.8,,NEW TREE,,,,,,
7/9/19,AC104,17.0,334,ACRU,1258,L,10.6,22.0,,,,,,,,
7/9/19,AC104,18.0,45,ACRU,1324,L,10.8,23.2,,,,,,,,
7/9/19,AC104,15.0,13,ACRU,1330,L,11.1,25.0,,,,,,,,
7/9/19,AC104,16.0,345,ACRU,1256,L,11.9,30.3,,,,,,,,
7/9/19,AC104,17.5,96,ACRU,1304,L,17.4,87.1,,,,,,,,
7/9/19,AC104,16.5,99,ACRU,1303,L,17.7,91.3,,,,,,,,
7/9/19,AC104,16.5,153,PIRE,1294,L,11.1,23.0,,,,,,,,
7/9/19,AC104,12.0,311,PIRE,1264,L,12.9,33.6,,,,,,,,
7/9/19,AC104,16.0,87,PIRE,1307,L,17.0,67.4,,,,,,,,
7/9/19,AC104,11.0,101,PIRE,1302,L,29.2,264.4,,,,,,,,
