Plot,Date sampled,CWD subplot ID,Species code (if possible),Length (m),Endpoint 1 diameter (cm),Midpoint diameter (cm),Endpoint 2 diameter (cm),Decay class of whole piece,Avg diameter (cm),Radius (cm),Volume (cm3),Species + decay class,Density (g cm-3),Mass (kg),Char class (BP17 ONLY),,,,,,,,,,,,,,,
AC103,6/19/2020,0,POGR,2.53,13.7,11.5,11.6,3,12.3,6.133333333,29899,POGR3,0.2843,8.500420112,,,,,,,,,,,,,,,,
AC103,6/19/2020,0,QURU,0.85,5.5,5.1,5.0,2,5.2,2.6,1805,QURU2,0.5925,1.06955679,,,,,,,,,,,,,,,,
AC103,6/19/2020,0,QURU,2.00,5.0,6.0,6.2,2,5.7,2.866666667,5163,QURU2,0.5925,3.05930387,,,,,,,,,,,,,,,,
AC103,6/19/2020,0,QURU,1.58,6.0,5.0,6.3,2,5.8,2.883333333,4127,QURU2,0.5925,2.445034659,,,,,,,,,,,,,,,,
AC103,6/19/2020,0,QURU,1.09,5.0,6.3,5.5,2,5.6,2.8,2685,QURU2,0.5925,1.590672555,,,,,,,,,,,,,,,,
AC103,6/19/2020,0,QURU,2.18,8.5,8.3,5.0,2,7.3,3.633333333,9041,QURU2,0.5925,5.35679723,,,,,,,,,,,,,,,,
AC103,6/19/2020,0,QURU,1.20,7.3,6.6,5.0,2,6.3,3.15,3741,QURU2,0.5925,2.216361416,,,,,,,,,,,,,,,,
AC103,6/19/2020,0,QURU,0.84,6.8,6.2,6.4,2,6.5,3.233333333,2759,QURU2,0.5925,1.634626264,,,,,,,,,,,,,,,,
AC103,6/19/2020,120,POGR,0.42,26.3,25.3,21.9,4,24.5,12.25,19800,POGR4,0.2673,5.29261495,,,,,,,,,,,,,,,,
AC103,6/19/2020,120,QURU,2.11,5.7,5.9,7.6,1,6.4,3.2,6788,QURU1,0.8035,5.454038078,,,,,,,,,,,,,,,,
AC103,6/19/2020,120,QURU,1.59,6.5,6.3,6.5,1,6.4,3.216666667,5168,QURU1,0.8035,4.152838053,,,,,,,,,,,,,,,,
AC103,6/19/2020,120,QURU,3.68,9.3,10.4,13.3,1,11.0,5.5,34972,QURU1,0.8035,28.10017027,,,,,,,,,,,,,,,,
AC103,6/19/2020,120,QURU,4.79,9.2,7.4,5.0,2,7.2,3.6,19503,QURU2,0.5925,11.55523394,,,,,,,,,,,,,,,,
AC103,6/19/2020,120,Unknown,1.97,5.9,5.8,5.2,3,5.6,2.816666667,4910,Unknown3,0.3356,1.647816926,,,,,,,,,,,,,,,,
AC103,6/19/2020,120,Unknown,1.91,5.0,5.2,6.0,3,5.4,2.7,4374,Unknown3,0.3356,1.468022529,,,,,,,,,,,,,,,,
AC103,6/19/2020,240,Unknown,1.24,5.7,6.7,6.3,4,6.2,3.116666667,3784,Unknown4,0.2517,0.952435305,,,,,,,,,,,,,,,,
AC103,6/19/2020,240,Unknown,0.62,5.4,5.0,5.4,4,5.3,2.633333333,1351,Unknown4,0.2517,0.339966756,,,,,,,,,,,,,,,,
AC104,6/19/2020,0,Unknown,0.64,6.8,7.0,9.5,3,7.8,3.883333333,3032,Unknown3,0.3356,1.017562609,,,,,,,,,,,,,,,,
AC104,6/19/2020,120,POGR,0.41,30.3,32.7,41.0,2,34.7,17.33333333,38699,POGR2,0.3780,14.62816017,,,,,,,,,,,,,,,,
AC104,6/19/2020,120,POGR,0.95,23.3,28.5,14.1,2,22.0,10.98333333,36003,POGR2,0.3780,13.60923164,,,,,,,,,,,,,,,,
AC104,6/19/2020,240,POGR,0.66,17.3,17.4,17.2,5,17.3,8.65,15514,POGR5,0.0680,1.054957432,,,,,,,,,,,,,,,,
AC107,7/7/2020,0,PIST,1.65,5.0,5.6,6.0,1,5.5,2.766666667,3968,PIST1,0.5987,2.375509384,,,,,,,,,,,,,,,,
AC107,7/7/2020,120,POGR,0.31,6.3,5.8,5.3,3,5.8,2.9,819,POGR3,0.2843,0.232854386,,,,,,,,,,,,,,,,
AC107,7/7/2020,120,POGR,0.23,5.1,6.2,5.7,3,5.7,2.833333333,580,POGR3,0.2843,0.164911108,,,,,,,,,,,,,,,,
AC107,7/7/2020,120,POGR,1.25,5.8,5.1,5.0,4,5.3,2.65,2758,POGR4,0.2673,0.737141042,,,,,,,,,,,,,,,,
AC107,7/7/2020,240,Unknown,1.14,5.5,7.3,5.0,4,5.9,2.966666667,3152,Unknown4,0.2517,0.793369396,,,,,,,,,,,,,,,,
BF7,7/6/2020,0,ACRU,2.56,5.3,6.3,7.2,2,6.3,3.133333333,7896,ACRU2,0.4090,3.229433483,,,,,,,,,,,,,,,,
BF7,7/6/2020,0,QURU,0.51,5.8,5.8,6.3,2,6.0,2.983333333,1426,QURU2,0.5925,0.844912946,,,,,,,,,,,,,,,,
BF7,7/6/2020,0,QURU,2.95,7.1,9.0,10.0,4,8.7,4.35,17537,QURU4,0.3074,5.390812984,,,,,,,,,,,,,,,,
BF7,7/6/2020,0,QURU,0.65,16.4,17.5,18.9,5,17.6,8.8,15814,QURU5,0.2341,3.701945215,,,,,,,,,,,,,,,,
BF7,7/6/2020,0,Stump- PIST,0.52,64.5,63.9,73.7,4,67.4,33.68333333,185346,Stump- PIST4,0.2673,49.54300003,,,,,,,,,,,,,,,,
BF7,7/6/2020,0,Unknown,2.73,10.2,16.7,19.5,4,15.5,7.733333333,51292,Unknown4,0.2517,12.91008779,,,,,,,,,,,,,,,,
BF7,7/6/2020,120,POGR,0.22,5.1,5.2,5.6,3,5.3,2.65,485,POGR3,0.2843,0.137987949,,,,,,,,,,,,,,,,
BF7,7/6/2020,120,Unknown,0.63,8.3,7.7,6.1,5,7.4,3.683333333,2685,Unknown5,0.1607,0.431507497,,,,,,,,,,,,,,,,
BF7,7/6/2020,240,POGR,1.15,6.4,5.3,5.7,2,5.8,2.9,3038,POGR2,0.3780,1.148511925,,,,,,,,,,,,,,,,
