Plot,Species,Date,<2 (cm),2-4 (cm),4-6 (cm),6-8 (cm)
AC103,ACRU,7/9/19,13,9,9,9
AC103,QURU,7/9/19,1,0,0,0
AC103,PIST,7/9/19,6,4,1,1
AC103,PIRE,7/9/19,27,16,2,1
CP1,FAGR,7/9/19,76,61,15,2
CP1,ACSA,7/9/19,0,0,3,0
CP1,ACRU,7/9/19,1,0,0,0
CP1,TSCA,7/9/19,0,0,0,1
CP3,FAGR,7/9/19,61,58,24,13
CP3,ACSA,7/9/19,1,1,1,1
CP3,TSCA,7/9/19,0,0,1,0
CP2,FAGR,7/9/19,27,46,26,8
CP2,ACSA,7/9/19,0,0,4,1
BS42C,PIST,7/9/19,82,66,38,7
BS42C,PIRE,7/9/19,0,3,2,1
BS42C,FAGR,7/9/19,12,0,1,0
BS42C,ACRU,7/9/19,10,1,1,0
BS42C,AMSP,7/9/19,55,5,0,0
BS42C,COCO,7/9/19,9,0,0,0
BS42C,ABBA,7/9/19,0,0,0,1
BS42C,BEPA,7/9/19,0,1,0,0
DNR2,ACRU,7/8/19,31,62,43,25
DNR2,POGR,7/8/19,4,23,36,26
DNR2,QURU,7/8/19,3,7,11,5
DNR2,BEPA,7/8/19,0,0,1,1
DNR1,ACRU,7/8/19,28,64,44,26
DNR1,POGR,7/8/19,5,19,49,42
DNR1,BEPA,7/8/19,0,0,0,3
DNR1,QURU,7/8/19,4,12,11,7
DNR1,FAGR,7/8/19,0,5,4,2
DNR1,PIRE,7/8/19,1,0,0,0
DNR3,ACRU,7/8/19,52,87,46,34
DNR3,POGR,7/8/19,12,33,61,51
DNR3,QURU,7/8/19,2,1,2,0
DNR3,PIST,7/8/19,3,2,0,1
DNR3,FAGR,7/8/19,2,0,2,0
DNR3,AMSP,7/8/19,2,1,0,0
AC104,ACRU,7/9/19,3,4,3,0
AC104,POGR,7/9/19,3,2,1,0
AC104,PIST,7/9/19,4,2,2,3
AC104,PIRE,7/9/19,17,0,1,0
AC104,QURU,7/9/19,7,7,1,0
AC104,FAGR,7/9/19,0,1,0,0
BS42A,ABBA,7/10/19,0,0,1,3
BS42A,PIST,7/10/19,195,79,20,7
BS42A,PIRE,7/10/19,0,0,2,0
BS42A,BEPA,7/10/19,5,1,1,0
BS42A,FAGR,7/10/19,8,5,0,0
BS42A,QURU,7/10/19,1,0,0,0
BS42A,ACRU,7/10/19,7,1,1,0
BS42A,AMSP,7/10/19,6,0,0,0
BS42A,COCO,7/10/19,0,2,0,0
BS42B,PIST,7/10/19,239,138,37,9
BS42B,PIRE,7/10/19,0,1,2,3
BS42B,FAGR,7/10/19,15,3,2,0
BS42B,ABBA,7/10/19,0,0,0,1
BS42B,PIGL,7/10/19,1,0,1,0
BS42B,AMSP,7/10/19,8,0,0,0
BS42B,ACRU,7/10/19,0,1,0,2
BS42B,COCO,7/10/19,1,0,0,0
BP98#1 Q1,POGR,7/19/19,3,10,13,10
BP98#1 Q1,QURU,7/19/19,0,0,0,1
BP98#1 Q1,ACRU,7/19/19,1,2,0,0
BP98#1 Q1,PIST,7/19/19,1,0,0,0
BP98#1 Q2,POGR,7/19/19,9,15,12,12
BP98#1 Q2,PIST,7/19/19,0,1,0,0
BP98#1 Q2,ACRU,7/19/19,1,0,0,0
BP98#1 Q3,POGR,7/19/19,1,7,11,11
BP98#1 Q3,PIST,7/19/19,3,1,0,0
BP98#1 Q3,ACRU,7/19/19,7,9,5,4
BP98#1 Q4,POGR,7/19/19,3,8,3,9
BP98#1 Q4,PIST,7/19/19,3,1,0,0
BP98#1 Q4,ACRU,7/19/19,1,0,4,2
BP98#1 Q5,POGR,7/19/19,3,13,14,10
BP98#1 Q5,PIST,7/19/19,3,0,0,0
BP98#1 Q5,ACRU,7/19/19,6,7,1,0
BP98#1 Q6,POGR,7/19/19,4,15,13,17
BP98#1 Q6,PIST,7/19/19,2,0,0,0
BP98#1 Q6,ACRU,7/19/19,4,7,0,5
BP98#2 Q1,POGR,7/19/19,22,47,33,19
BP98#2 Q1,PIST,7/19/19,3,1,0,0
BP98#2 Q1,ACRU,7/19/19,11,8,6,4
BP98#2 Q2,POGR,7/19/19,29,33,41,21
BP98#2 Q2,PIST,7/19/19,1,0,0,0
BP98#2 Q2,ACRU,7/19/19,1,0,1,0
BP98#2 Q2,QURU,7/19/19,2,3,1,1
BP98#2 Q3,POGR,7/19/19,16,21,23,18
BP98#2 Q3,PIST,7/19/19,0,1,0,0
BP98#2 Q3,ACRU,7/19/19,14,8,3,2
BP98#2 Q3,QURU,7/19/19,0,0,1,1
BP98#2 Q4,POGR,7/19/19,16,35,24,14
BP98#2 Q4,PIST,7/19/19,1,0,0,0
BP98#2 Q4,ACRU,7/19/19,7,12,6,1
BP98#2 Q4,QURU,7/19/19,1,1,0,0
BP98#2 Q4,PIRE,7/19/19,0,1,0,0
BP98#2 Q5,PIST,7/19/19,3,0,0,0
BP98#2 Q5,ACRU,7/19/19,2,0,0,0
BP98#2 Q5,POGR,7/19/19,21,55,36,30
BP98#2 Q5,QURU,7/19/19,1,0,1,1
BP98#2 Q5,PIRE,7/19/19,2,0,0,0
BP98#2 Q6,PIST,7/19/19,3,0,0,0
BP98#2 Q6,ACRU,7/19/19,32,34,10,8
BP98#2 Q6,POGR,7/19/19,15,51,21,20
BP98#2 Q6,QURU,7/19/19,1,2,1,1
BP98#2 Q6,POTR,7/19/19,1,0,0,1
BP98#2 Q7,ACRU,7/19/19,13,21,4,0
BP98#2 Q7,POGR,7/19/19,19,24,26,16
BP98#2 Q7,PIST,7/19/19,7,1,0,0
BP98#2 Q7,FAGR,7/19/19,10,0,0,0
BP80#1,POGR,7/23/19,4,13,39,42
BP80#1,ACRU,7/23/19,21,48,25,16
BP80#1,PIST,7/23/19,18,14,14,4
BP80#1,QURU,7/23/19,0,4,3,2
BP80#1,PIRE,7/23/19,18,13,3,1
BP80#2,POGR,7/22/19,3,6,32,53
BP80#2,ACRU,7/22/19,31,51,26,11
BP80#2,PIST,7/22/19,30,24,17,13
BP80#2,QURU,7/22/19,1,6,3,3
BP80#2,PIRE,7/22/19,25,7,6,0
BP80#2,BEPA,7/22/19,2,0,2,2
BP80#3,POGR,7/17/19,1,21,54,56
BP80#3,QURU,7/17/19,0,4,2,3
BP80#3,PIST,7/17/19,21,32,35,8
BP80#3,PIRE,7/17/19,14,9,2,3
BP80#3,ACRU,7/17/19,70,69,45,31
PSA#1,POGR,7/16/19,0,0,13,31
PSA#1,ACRU,7/16/19,18,50,29,21
PSA#1,PIST,7/16/19,12,12,8,8
PSA#1,QURU,7/16/19,5,7,2,6
PSA#1,PIRE,7/16/19,1,0,0,1
PSA#2,POGR,7/16/19,0,0,6,15
PSA#2,ACRU,7/16/19,6,28,41,27
PSA#2,PIST,7/16/19,42,8,3,2
PSA#2,QURU,7/16/19,0,4,1,3
PSA#2,PIRE,7/16/19,0,1,0,0
PSA#2,FAGR,7/16/19,1,0,0,0
PSA#2,BEPA,7/16/19,0,0,1,0
PSA#3,POGR,7/17/19,1,1,6,17
PSA#3,ACRU,7/17/19,5,21,17,20
PSA#3,PIST,7/17/19,18,4,0,1
PSA#3,QURU,7/17/19,1,7,8,4
PSA#3,PIRE,7/17/19,3,1,0,0
PSA#3,FAGR,7/17/19,7,6,4,2
PSA#3,BEPA,7/17/19,0,1,1,4
AC107,PIST,7/17/19,59,26,30,26
AC107,ACRU,7/17/19,0,3,1,0
AC107,QURU,7/17/19,15,23,12,11
AC107,FAGR,7/17/19,13,2,0,0
AC107,PIRE,7/17/19,13,6,1,2
AC107,ABBA,7/17/19,0,1,0,0
BF7,PIST,7/15/19,129,41,8,7
BF7,PIRE,7/15/19,10,6,0,1
BF7,ACRU,7/15/19,10,5,10,13
