Sort,Plot,Species,DBH_size_class,Mid dbh,Date,Tally,Biomass,Height
1,AC103,ACRU,0_to_2,1,6/10/14,2,0.06234,
2,AC103,ACRU,0_to_2,1,7/9/19,13,0.40521,
3,AC103,ACRU,2_to_4,3,6/10/14,9,5.935019598,
4,AC103,ACRU,2_to_4,3,7/9/19,9,5.935019597,
5,AC103,ACRU,4_to_6,5,6/10/14,4,10.90273523,
6,AC103,ACRU,4_to_6,5,7/9/19,9,24.53115428,
7,AC103,ACRU,6_to_8,7,6/10/14,12,83.29144632,
8,AC103,ACRU,6_to_8,7,7/9/19,9,62.46858474,
9,AC103,PIRE,0_to_2,1,6/10/14,18,0.9468,
10,AC103,PIRE,0_to_2,1,7/9/19,27,1.4202,
11,AC103,PIRE,2_to_4,3,6/10/14,3,2.530578792,
12,AC103,PIRE,2_to_4,3,7/9/19,16,13.49642022,
13,AC103,PIRE,4_to_6,5,6/10/14,0,0,
14,AC103,PIRE,4_to_6,5,7/9/19,2,6.130193408,
15,AC103,PIRE,6_to_8,7,6/10/14,0,0,
16,AC103,PIRE,6_to_8,7,7/9/19,1,7.170251246,
17,AC103,PIST,0_to_2,1,6/10/14,4,0.1632,
18,AC103,PIST,0_to_2,1,7/9/19,6,0.2448,
19,AC103,PIST,2_to_4,3,6/10/14,4,2.757983753,
20,AC103,PIST,2_to_4,3,7/9/19,4,2.757983753,
21,AC103,PIST,4_to_6,5,6/10/14,0,0,
22,AC103,PIST,4_to_6,5,7/9/19,1,2.567198612,
23,AC103,PIST,6_to_8,7,6/10/14,1,6.102671164,
24,AC103,PIST,6_to_8,7,7/9/19,1,6.102671164,
25,AC103,QURU,0_to_2,1,6/10/14,1,0.0398,
26,AC103,QURU,0_to_2,1,7/9/19,1,0.0398,
27,AC103,QURU,2_to_4,3,6/10/14,0,0,
28,AC103,QURU,2_to_4,3,7/9/19,0,0,
29,AC103,QURU,4_to_6,5,6/10/14,0,0,
30,AC103,QURU,4_to_6,5,7/9/19,0,0,
31,AC103,QURU,6_to_8,7,6/10/14,0,0,
32,AC103,QURU,6_to_8,7,7/9/19,0,0,
33,AC104,ACRU,0_to_2,1,6/11/14,4,0.12468,
34,AC104,ACRU,0_to_2,1,7/9/19,3,0.09351,
