Plot,Date_sampled,CWD_subplot_ID,Species_code,Status,Length_m,Endpoint_1_diameter_cm,Midpoint_diameter_cm,Endpoint_2_diamteter_cm,Decay_class_whole_piece,Avg_diameter_cm,Avg_radius_cm,Avg_area_cm_squared,Density,Estimated_tapered_volume_cm_cubed,Estimated_mass_tapered_g
DNR1,2014-05-14,120,Unknown,NA,0.27,5.7,5.4,5.2,5,5.4,2.716666667,23.18582645,0.203163211,6.245446925,1.268845049
DNR1,2014-05-14,0,POGR,NA,0.57,5,5,5,1,5,2.5,19.63495408,0.598686865,11.19192383,6.700457787
DNR1,2014-05-14,0,POGR,NA,3.55,6,5.5,5,4,5.5,2.75,23.75829444,0.267329766,84.57429223,22.60922571
DNR1,2014-05-14,0,POGR,NA,4.89,5.1,6.9,7.4,2,6.5,3.233333333,32.84360586,0.377954178,167.8596937,63.44327254
DNR1,2014-05-14,0,POGR,NA,1.11,5.2,5.3,5.6,2,5.4,2.683333333,22.62033977,0.377954178,24.9652158,9.435707614
DNR1,2014-05-14,120,POGR,NA,0.49,5.2,5.1,5,2,5.1,2.55,20.42820623,0.377954178,10.01110387,3.783738533
DNR1,2014-05-14,240,POGR,NA,2.84,6.4,6.1,5,2,5.8,2.916666667,26.72535417,0.377954178,78.03883703,29.49510449
DNR1,2014-05-14,240,POGR,NA,2.35,5.3,6.7,6.9,1,6.3,3.15,31.17245311,0.598686865,76.04840247,45.52917964
DNR1,2014-05-14,240,POGR,NA,1.32,7.8,8.4,8.6,2,8.3,4.133333333,53.67236516,0.377954178,71.47877269,27.01570077
DNR1,2014-05-14,240,POGR,NA,0.42,9,8.6,8.6,1,8.7,4.366666667,59.90319059,0.598686865,24.97314832,14.95109587
DNR1,2014-05-14,240,POGR,NA,1.6,8.4,7.8,7.4,1,7.9,3.933333333,48.60392901,0.598686865,77.54288427,46.42390627
DNR1,2014-05-14,240,POGR,NA,1.22,5.7,5.4,8,4,6.4,3.183333333,31.83567822,0.267329766,36.53721998,9.767486451
DNR1,2014-05-14,240,POGR,NA,0.55,5.5,5.2,5.7,4,5.5,2.733333333,23.47118778,0.267329766,12.60341523,3.369268038
DNR1,2014-05-14,240,POGR,NA,0.45,5.9,5.9,6.1,1,6,2.983333333,27.96104728,0.598686865,12.51374894,7.491817117
DNR1,2014-05-14,0,POGR,Stump,0.43,6.1,6.2,7.6,4,6.6,3.316666667,34.55839185,NA,14.45390493,NA
DNR1,2014-05-14,240,POGR,Stump,0.67,7.2,6.5,5.7,1,6.5,3.233333333,32.84360586,0.598686865,22.16074222,13.26734528
DNR2,2014-05-14,0,POGR,NA,1.69,5,5.4,5.3,4,5.2,2.616666667,21.51031037,0.267329766,36.95045722,9.877957066
DNR2,2014-05-14,0,POGR,NA,1.72,5,5.6,5.5,2,5.4,2.683333333,22.62033977,0.377954178,39.79931889,15.04231885
DNR2,2014-05-14,120,POGR,NA,3.85,5,5.8,6.2,1,5.7,2.833333333,25.22000769,0.598686865,98.61564059,59.03988868
DNR2,2014-05-14,120,POGR,NA,2.7,6.7,7.4,8.5,4,7.5,3.766666667,44.57221844,0.267329766,119.8619699,32.04267231
DNR2,2014-05-14,120,POGR,NA,2.8,7,5.8,5,4,5.9,2.966666667,27.64950601,0.267329766,77.29155686,20.66233377
DNR2,2014-05-14,120,POGR,NA,1.01,7.7,6.6,6.3,3,6.9,3.433333333,37.03239607,0.284290647,36.8201204,10.46761586
DNR2,2014-05-14,120,POGR,NA,0.83,5.3,5.9,5.1,4,5.4,2.716666667,23.18582645,0.267329766,20.10833974,5.375557748
DNR2,2014-05-14,120,POGR,NA,0.81,5.2,5.4,5,4,5.2,2.6,21.23716634,0.267329766,17.54139674,4.689337478
DNR2,2014-05-14,240,POGR,NA,2,6.2,5.4,5,3,5.5,2.766666667,24.04714643,0.284290647,47.71032043,13.56359787
DNR2,2014-05-14,240,POGR,NA,2.44,6.4,6,5,3,5.8,2.9,26.42079422,0.284290647,65.91040443,18.73771153
DNR2,2014-05-14,240,POGR,NA,1.79,5.3,5.7,6.2,2,5.7,2.866666667,25.8169103,0.377954178,46.17321769,17.45136053
DNR2,2014-05-14,240,POGR,NA,2.24,6.7,6.4,6.4,3,6.5,3.25,33.1830724,0.284290647,73.77590524,20.97379985
DNR2,2014-05-14,240,POGR,NA,0.31,5,5.2,5,4,5.1,2.533333333,20.16204352,0.267329766,6.333555509,1.693147909
DNR2,2014-05-14,240,POGR,NA,3.4,7.8,7,5,2,6.6,3.3,34.211944,0.377954178,121.6969218,45.99586004
DNR2,2014-05-14,240,POGR,NA,1.36,6.1,5.8,5,3,5.6,2.816666667,24.92417438,0.284290647,34.51343217,9.811845968
DNR2,2014-05-14,240,POGR,NA,0.67,5.6,5.4,5.9,5,5.6,2.816666667,24.92417438,0.067965232,16.3644645,1.112214625
DNR2,2014-05-14,240,POGR,NA,1.44,5.5,5.1,5,2,5.2,2.6,21.23716634,0.377954178,30.31385583,11.45724846
DNR2,2014-05-14,240,POGR,NA,0.29,5.9,5.6,5.9,2,5.8,2.9,26.42079422,0.377954178,7.532204006,2.846827973
DNR2,2014-05-14,240,POGR,NA,0.77,5,5,5,2,5,2.5,19.63495408,0.377954178,15.11891465,5.714256955
DNR2,2014-05-14,240,POGR,NA,1.13,5.2,6.1,5.9,2,5.7,2.866666667,25.8169103,0.377954178,30.1720391,11.40364823
DNR2,2014-05-14,240,POGR,NA,0.98,6.5,5.4,5.3,2,5.7,2.866666667,25.8169103,0.377954178,24.67883345,9.327468208
DNR2,2014-05-14,0,POGR,Stump,0.89,6.6,5.6,5,4,5.7,2.866666667,25.8169103,NA,22.86210278,NA
DNR2,2014-05-14,0,POGR,Stump,0.96,6,5.5,5.4,2,5.6,2.816666667,24.92417438,0.377954178,18.07106926,6.830036126
DNR2,2014-05-14,0,POGR,Stump,0.66,9.3,6.6,6.2,4,7.4,3.683333333,42.621813,NA,27.15789039,NA
DNR2,2014-05-14,120,POGR,Stump,1.32,6.9,6.2,5.3,2,6.1,3.066666667,29.54493358,0.377954178,30.84690557,11.65871683
DNR2,2014-05-14,240,POGR,Stump,0.49,6.5,5.2,5.4,4,5.7,2.85,25.51758633,NA,12.01807107,NA
DNR2,2014-05-14,240,POGR,Stump,0.59,5.3,5.7,7.6,3,6.2,3.1,30.1907054,0.284290647,9.59071623,2.726550924
DNR3,2014-05-14,0,Unknown,NA,0.41,5.2,5.3,5,2,5.2,2.583333333,20.96576764,0.431413192,8.709384954,3.757343563
