Stand name,Date Sampled,Plot ID,Nickname,CWD subplot ID,Species code (if possible),Length (m),Endpoint 1 diameter (cm),Midpoint diameter (cm),Endpoint 2 diameter (cm),Decay class of whole piece,Avg. Diameter (cm),Avg. Radius (cm),Avg. Area (cm^2),Species Code + Decay Class,Density,Est. Tapered Volume (cm^3),Estimated Biomass (taper) (g)
DNR1987,5/14/2014,1,Sandy,120,?ACRU or QURU,0.27,5.7,5.4,5.2,5,5.4,2.716666667,23.18582645,?ACRU or QURU5,0.203163211,6.245446925,1.268845049
DNR1987,5/14/2014,1,Sandy,0,POGR,0.57,5.0,5.0,5.0,1,5.0,2.5,19.63495408,POGR1,0.598686865,11.19192383,6.700457787
DNR1987,5/14/2014,1,Sandy,0,POGR,3.55,6.0,5.5,5.0,4,5.5,2.75,23.75829444,POGR4,0.267329766,84.57429223,22.60922571
DNR1987,5/14/2014,1,Sandy,0,POGR,4.89,5.1,6.9,7.4,2,6.5,3.233333333,32.84360586,POGR2,0.377954178,167.8596937,63.44327254
DNR1987,5/14/2014,1,Sandy,0,POGR,1.11,5.2,5.3,5.6,2,5.4,2.683333333,22.62033977,POGR2,0.377954178,24.9652158,9.435707614
DNR1987,5/14/2014,1,Sandy,120,POGR,0.49,5.2,5.1,5.0,2,5.1,2.55,20.42820623,POGR2,0.377954178,10.01110387,3.783738533
DNR1987,5/14/2014,1,Sandy,240,POGR,2.84,6.4,6.1,5.0,2,5.8,2.916666667,26.72535417,POGR2,0.377954178,78.03883703,29.49510449
DNR1987,5/14/2014,1,Sandy,240,POGR,2.35,5.3,6.7,6.9,1,6.3,3.15,31.17245311,POGR1,0.598686865,76.04840247,45.52917964
DNR1987,5/14/2014,1,Sandy,240,POGR,1.32,7.8,8.4,8.6,2,8.3,4.133333333,53.67236516,POGR2,0.377954178,71.47877269,27.01570077
DNR1987,5/14/2014,1,Sandy,240,POGR,0.42,9.0,8.6,8.6,1,8.7,4.366666667,59.90319059,POGR1,0.598686865,24.97314832,14.95109587
DNR1987,5/14/2014,1,Sandy,240,POGR,1.60,8.4,7.8,7.4,1,7.9,3.933333333,48.60392901,POGR1,0.598686865,77.54288427,46.42390627
