Sort,Plot,Origin year,Common Name,Species code,old tag,LTREB tag,Measure Year,Stand Year,dbh (inches),dbh (cm),AGB (kg),ht
1,BS34A,,Acer pensylvanicum,ACPE,224,,1934,,1.5,3.8,3.2,
2,BS34A,,Acer pensylvanicum,ACPE,    375B,,1982,,1.5,3.8,3.2,
3,BS34A,,Acer pensylvanicum,ACPE,    386A,,1982,,1.5,3.8,3.2,
4,BS34A,,Acer pensylvanicum,ACPE,1,,1934,,1.6,4.1,3.6,
5,BS34A,,Acer pensylvanicum,ACPE,25,,1934,,1.6,4.1,3.6,
6,BS34A,,Acer pensylvanicum,ACPE,34,,1934,,1.6,4.1,3.6,
7,BS34A,,Acer pensylvanicum,ACPE,    176D,,1982,,1.7,4.3,4.2,
8,BS34A,,Acer pensylvanicum,ACPE,1,,1939,,1.8,4.6,4.7,
9,BS34A,,Acer pensylvanicum,ACPE,31,,1934,,1.9,4.8,5.3,
10,BS34A,,Acer pensylvanicum,ACPE,45,,1934,,1.9,4.8,5.3,
11,BS34A,,Acer pensylvanicum,ACPE,25,,1939,,1.9,4.8,5.3,
12,BS34A,,Acer pensylvanicum,ACPE,224,,1939,,1.9,4.8,5.3,
13,BS34A,,Acer pensylvanicum,ACPE,241,,1934,,2,5.1,5.9,
14,BS34A,,Acer pensylvanicum,ACPE,492,,1934,,2,5.1,5.9,
15,BS34A,,Acer pensylvanicum,ACPE,34,,1939,,2,5.1,5.9,
16,BS34A,,Acer pensylvanicum,ACPE,1,,1944,,2,5.1,5.9,
17,BS34A,,Acer pensylvanicum,ACPE,25,,1944,,2,5.1,5.9,
18,BS34A,,Acer pensylvanicum,ACPE,1,,1949,,2,5.1,5.9,
19,BS34A,,Acer pensylvanicum,ACPE,492,,1939,,2.2,5.6,7.3,
20,BS34A,,Acer pensylvanicum,ACPE,     40C,,1982,,2.2,5.6,7.3,
21,BS34A,,Acer pensylvanicum,ACPE,26,,1934,,2.3,5.8,8,
22,BS34A,,Acer pensylvanicum,ACPE,31,,1939,,2.3,5.8,8,
23,BS34A,,Acer pensylvanicum,ACPE,45,,1939,,2.3,5.8,8,
