Index,Plot,Species,0-2,"0-2, Dead",0-2 Mean Height,2-4,"2-4, dead",2-4 Mean Height,4-6,"4-6, dead",4-6 Mean Height,6-8,"6-8, dead",Tally Date,6-8 Mean Height,,Biomass 0-2,"Biomass 0-2, dead",Biomass 2-4,"Biomass 2-4, dead",Biomass 4-6,"Biomass 4-6, dead",Biomass 6-8,"Biomass 6-8, dead",,Total Biomass (kg)
1,AC103,ACRU,1,1,,5,4,,4,,,6,6,6/10/14,,,0.03117,0.03117,3.29723311,2.637786488,10.90273523,0,41.64572316,41.64572316,,100.1915412
2,AC103,PIRE,18,,,3,,,,,,,,6/10/14,,,0.9468,0,2.530578792,0,0,0,0,0,,3.477378792
3,AC103,PIST,4,,,4,,,,,,1,,6/10/14,,,0.1632,0,2.757983753,0,0,0,6.102671164,0,,9.023854917
4,AC103,QURU,1,,,,,,,,,,,6/10/14,,,0.0398,0,0,0,0,0,0,0,,0.0398
5,AC104,ACRU,1,3,,4,3,,2,1,,1,,6/11/14,,,0.03117,0.09351,2.637786488,1.978339866,5.451367617,2.725683809,6.94095386,0,,19.85881164
6,AC104,PIRE,3,,,,,,1,,,1,,6/11/14,,,0.1578,0,0,0,3.065096704,0,7.170251246,0,,10.39314795
7,AC104,PIST,4,,,,,,2,1,,3,,6/11/14,,,0.1632,0,0,0,5.134397224,2.567198612,18.30801349,0,,26.17280933
8,AC104,QURU,8,,,3,,,,,,1,,6/11/14,,,0.3184,0,2.51334678,0,0,0,8.783709746,0,,11.61545653
9,AC104,FAGR,,,,1,,,,,,,,6/11/14,,,0,0,2.392919529,0,0,0,0,0,,2.392919529
10,AC107,ACRU,,1,,1,2,,,,,,,6/12/14,,,0,0.03117,0.659446622,1.318893244,0,0,0,0,,2.009509866
11,AC107,FAGR,9,,,1,,,,,,,,6/12/14,,,1.7028,0,2.392919529,0,0,0,0,0,,4.095719529
12,AC107,PIST,25,1,,24,,,23,2,,18,,6/12/14,,,1.02,0.0408,16.54790252,0,59.04556807,5.134397224,109.8480809,0,,191.6367488
13,AC107,PIRE,10,2,,5,,,,,,1,,6/12/14,,,0.526,0.1052,4.21763132,0,0,0,7.170251246,0,,12.01908257
14,AC107,QURU,10,2,,24,1,,7,,,8,,6/12/14,,,0.398,0.0796,20.10677424,0.83778226,24.18268518,0,70.26967797,0,,115.8745196
15,AC107,ABBA,1,,,,,,,,,,,6/12/14,,,0.0752,0,0,0,0,0,0,0,,0.0752
16,AC107,Other,,1,,,,,,,,,,6/12/14,,,0,0.163,0,0,0,0,0,0,,0.163
