Date,Starred,Plot,Distance (m),Azimuth,Unit Circle  (Á),Unit Circle (radians),Species,Status,DBH (cm),Height (m) estimate,Tag #,Notes,Plot Center X,Plot Center Y,Tree X,Tree Y,Random Number,Volume estimate (cm^3),Biomass estimate (g),Biomass estimate (kg)
6/10/2014,,AC103,10,115,-25,-0.436332313,POGR,X/D,34.3,,1375,,601798.5479,555893.9453,601807.611,555889.7191,0.632580926,,,561.9667034
7/16/2014,,BP36#1,12.5,345,-255,-4.450589593,POGR,X/C,31.9,,3643,,601242.1035,557182.9114,601238.8683,557194.9855,,,,473.8968349
6/13/2014,,BS40F,17.5,102,-12,-0.20943951,POGR,X/C,30.3,,1068,,603552.0259,556477.1673,603569.1435,556473.5289,0.662706307,,,419.9236643
6/10/2014,Y,AC104,17,119,-29,-0.506145483,POGR,X/C,29,,1298,,601805.5138,555849.6073,601820.3824,555841.3655,0.304400285,,,378.8081171
6/12/2014,Y,AC107,12.5,269,-179,-3.124139361,POGR,X/C,28.7,,1187,One branch with fruit,600711.1942,557041.0116,600698.6961,557040.7935,0.089147735,,,369.6641562
6/10/2014,Y,AC104,12.5,23,67,1.169370599,POGR,X/D,25.4,,1326,,601805.5138,555849.6073,601810.398,555861.1136,0.179028723,,,277.4308346
6/13/2014,,CP1,8.5,124,-34,-0.593411946,FAGR,X/O,22.1,,1004,,602530.7988,549490.5038,602537.8456,549485.7507,0.769990383,,,241.0260406
7/16/2014,Y,BP36#2,14,180,-90,-1.570796327,POGR,X/O,21.8,,3741,,601186.2253,557210.9029,601186.2253,557196.9029,,,,193.7231534
6/10/2014,,AC104,11.5,50,40,0.698131701,POGR,X/D,21.7,,1321,,601805.5138,555849.6073,601814.3233,555856.9993,0.966953819,,,191.6414921
7/28/2014,,BS40E,3.5,208,-118,-2.059488517,POGR,X/O,19.5,,1946,,603520.0525,556522.2025,603518.4094,556519.1122,,,,149.0732744
7/16/2014,Y,BP36#1,14,310,-220,-3.839724354,POGR,X/C,18,,3557,,601242.1035,557182.9114,601231.3789,557191.9104,,,,123.5138882
7/16/2014,Y,BP36#1,13.5,195,-105,-1.832595715,POGR,X/O,17.9,,3586,,601242.1035,557182.9114,601238.6095,557169.8714,,,,121.9075247
,,CP2,8,78,12,0.20943951,ACSA,X/O,15.8,,1471,,602508.3347,549430.1294,602516.1598,549431.7927,0.318748247,,,109.1012451
7/16/2014,Y,BP36#1,13,185,-95,-1.658062789,POGR,X/O,16.5,,3591,,601242.1035,557182.9114,601240.9705,557169.9609,,,,100.6746743
7/16/2014,Y,BP36#1,12.5,5,85,1.483529864,POGR,X/C,16.2,,3620,,601242.1035,557182.9114,601243.193,557195.3638,,,,96.42615337
7/16/2014,,BP36#2,13.5,0,90,1.570796327,POGR,X/O,14.1,,2288,,601186.2253,557210.9029,601186.2253,557224.4029,,,,69.58434315
7/28/2014,,BS42A,10.5,245,-155,-2.705260341,PIST,X/O,17.5,,3152,,596264.1001,558850.3064,596254.5838,558845.8689,,,,64.50874329
7/16/2014,Y,BP36#2,16.5,253,-163,-2.844886681,POGR,X/O,13.5,,3716,,601186.2253,557210.9029,601170.4463,557206.0788,,,,62.82532592
7/28/2014,,BS42A,12,280,-190,-3.316125579,PIST,X/O,17.1,,819,Old tag 151,596264.1001,558850.3064,596252.2824,558852.3901,,,,60.78209335
7/19/2014,Y,BP54#2,14,82,8,0.13962634,POGR,X/C,12.6,,3195,,601246.9375,557028.522,601260.8013,557030.4705,,,,53.42286414
7/19/2014,Y,BP54#1,16,128,-38,-0.663225116,POGR,X/C,12.6,,3267,,601269.8582,557011.1116,601282.4664,557001.261,,,,53.42286414
7/16/2014,,BP36#2,14.5,75,15,0.261799388,POGR,X/O,12.4,,3791,,601186.2253,557210.9029,601200.2313,557214.6558,,,,51.45158249
6/18/2014,,CP3,12.5,151,-61,-1.064650844,FAGR,X/O,11.2,,1426,,602524.998,549414.8435,602531.0581,549403.9107,0.212759546,,,50.153356
6/19/2014,,BF8,12.5,25,65,1.134464014,POGR,X/O,12.2,16,1404,,601128.2237,557322.2064,601133.5065,557333.5352,0.689334122,,,49.52275435
,,CP2,5,248,-158,-2.757620218,FAGR,X/O,10.8,,1892,,602508.3347,549430.1294,602503.6987,549428.2564,0.114377336,,,46.11263929
,,PSA1,12,115,-25,-0.436332313,POGR,X/C,11.7,,2814,,601132.231,557218.9223,601143.1067,557213.8509,0.162445712,,,44.88483148
