Date,Outside Historic Plot,Plot,Distance (m),Azimuth,Unit Circle  (°),Unit Circle (radians),Species,Status,DBH (cm),Height (estimate),Tag #,Notes,Plot Center X,Plot Center Y,Tree X,Tree Y,Random Number,Biomass estimate (kg)
6/10/2014,,AC103,11,63,27,0.471238898,QURU,D,45.3,,1389,,601798.5479,555893.9453,601808.349,555898.9392,0.313625245,1559.214359
6/10/2014,,AC103,11,68,22,0.383972435,QURU,D,38.6,,1387,,601798.5479,555893.9453,601808.747,555898.0659,0.283539064,1000.286259
6/10/2014,,AC103,3,176,-86,-1.500983157,POGR,D,43.1,,1353,,601798.5479,555893.9453,601798.7572,555890.9526,0.837588879,961.1056946
6/10/2014,,AC103,2,90,0,0,POGR,D,42,,1384,,601798.5479,555893.9453,601800.5479,555893.9453,0.795748019,904.4564155
6/10/2014,Y,AC103,11.5,154,-64,-1.117010721,QURU,D,36.9,,1368,,601798.5479,555893.9453,601803.5892,555883.6091,0.491529061,882.8237252
6/10/2014,Y,AC103,12,158,-68,-1.186823891,QURU,D,36.7,,1367,,601798.5479,555893.9453,601803.0432,555882.8191,0.866016142,869.6168269
6/10/2014,Y,AC103,18,321,-231,-4.031710572,QURU,D,36.2,,1336,,601798.5479,555893.9453,601787.2202,555907.9339,0.19608681,837.1541251
6/10/2014,,AC103,5.5,80,10,0.174532925,POGR,D,39.3,,1383,,601798.5479,555893.9453,601803.9644,555894.9003,0.937755727,773.7133242
6/10/2014,Y,AC103,15.5,200,-110,-1.919862177,QURU,D,34.4,,1359,,601798.5479,555893.9453,601793.2466,555879.38,0.067874893,726.7319547
6/10/2014,Y,AC103,15.5,245,-155,-2.705260341,QURU,D,34.2,,1349,,601798.5479,555893.9453,601784.5002,555887.3947,0.662863709,715.0741435
6/10/2014,Y,AC103,11.5,156,-66,-1.151917306,QURU,D,34,,1369,,601798.5479,555893.9453,601803.2254,555883.4395,0.164979655,703.5366081
6/10/2014,,AC103,9,236,-146,-2.548180708,QURU,D,33.5,,1350,,601798.5479,555893.9453,601791.0866,555888.9125,0.053560345,675.2154015
6/10/2014,,AC103,6,354,-264,-4.607669225,POGR,D,35.5,,1337,,601798.5479,555893.9453,601797.9208,555899.9124,0.947748621,609.2605316
6/10/2014,,AC103,11,67,23,0.401425728,QURU,D,31.6,,1388,,601798.5479,555893.9453,601808.6735,555898.2433,0.588186617,574.268807
6/10/2014,,AC103,2,277,-187,-3.263765701,POGR,D,34.2,,1343,,601798.5479,555893.9453,601796.5628,555894.189,0.50795906,558.1243945
6/10/2014,Y,AC103,16,11,79,1.378810109,QURU,D,30.8,,1395,,601798.5479,555893.9453,601801.6009,555909.6513,0.271949276,534.8470801
6/10/2014,Y,AC103,11.5,268,-178,-3.106686069,POGR,D,33.1,,1344,,601798.5479,555893.9453,601787.0549,555893.5439,0.702582541,516.854475
6/10/2014,Y,AC103,17.5,335,-245,-4.276056667,QURU,D,29.9,,1335,,601798.5479,555893.9453,601791.1521,555909.8057,0.164242167,492.6171709
6/10/2014,Y,AC103,12,156,-66,-1.151917306,POGR,D,29.6,,1366,,601798.5479,555893.9453,601803.4288,555882.9827,0.181802895,397.4822355
6/10/2014,,AC103,9.5,197,-107,-1.8675023,POGR,D,28.3,,1355,,601798.5479,555893.9453,601795.7704,555884.8604,0.310155504,357.6714104
6/10/2014,,AC103,7,338,-248,-4.328416545,QURU,C,25.4,,1338,,601798.5479,555893.9453,601795.9257,555900.4356,0.546783342,313.3638554
6/10/2014,Y,AC103,15.5,350,-260,-4.537856055,QURU,C,24.1,,1333,,601798.5479,555893.9453,601795.8564,555909.2098,0.172495394,270.8751332
6/10/2014,,AC103,4,9,81,1.413716694,POGR,D,23.3,,1399,,601798.5479,555893.9453,601799.1737,555897.896,0.836107371,226.5110558
6/10/2014,Y,AC103,15.5,68,22,0.383972435,PIST,C,28.1,,1390,,601798.5479,555893.9453,601812.9193,555899.7517,0.197581353,218.225691
6/10/2014,,AC103,6,336,-246,-4.29350996,QURU,O,22.1,,1340,10cm below DBH due to knot,601798.5479,555893.9453,601796.1075,555899.4265,0.499156408,213.0201097
6/10/2014,Y,AC103,14,23,67,1.169370599,POGR,C,21.8,,1397,,601798.5479,555893.9453,601804.0182,555906.8323,0.786902483,193.7231534
6/10/2014,Y,AC103,18,336,-246,-4.29350996,QURU,O,20.1,,1334,,601798.5479,555893.9453,601791.2267,555910.3891,0.451383156,163.7446117
6/10/2014,,AC103,4.5,310,-220,-3.839724354,PIRE,O,18.4,,1342,,601798.5479,555893.9453,601795.1007,555896.8378,0.73915116,82.34981
6/10/2014,Y,AC103,14.5,246,-156,-2.722713633,QURU,O,15,,1348,,601798.5479,555893.9453,601785.3015,555888.0476,0.655060338,72.72011716
6/10/2014,,AC103,1,179,-89,-1.553343034,PIST,O,18,,1352,,601798.5479,555893.9453,601798.5654,555892.9454,0.803100731,69.35918079
6/10/2014,Y,AC103,13.5,176,-86,-1.500983157,PIST,O,17.5,,1363,,601798.5479,555893.9453,601799.4897,555880.4782,0.567327841,64.50874329
6/10/2014,,AC103,7.5,324,-234,-4.08407045,PIST,O,17.5,,1339,,601798.5479,555893.9453,601794.1395,555900.0129,0.799255661,64.50874329
6/10/2014,Y,AC103,9,155,-65,-1.134464014,PIST,C,17.2,,1365,,601798.5479,555893.9453,601802.3515,555885.7885,0.336045739,61.70105945
6/10/2014,Y,AC103,15.5,18,72,1.256637061,PIST,O,14.9,,1394,,601798.5479,555893.9453,601803.3377,555908.6866,0.363315183,42.64371428
6/10/2014,,AC103,6,75,15,0.261799388,ACRU,O,13.4,,1382,,601798.5479,555893.9453,601804.3435,555895.4982,0.597033264,42.15352837
6/10/2014,,AC103,6,80,10,0.174532925,ACRU,O,13.1,,1381,,601798.5479,555893.9453,601804.4568,555894.9872,0.601509506,39.58370685
6/10/2014,Y,AC103,17.5,133,-43,-0.750491578,PIST,O,13.8,,1370,,601798.5479,555893.9453,601811.3466,555882.0103,0.380802767,35.00571817
